index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
38857,64164,0.72442,1 Nephi 13:37,Book of Mormon,1277,667.0,127,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/216be185-e7d2-40a5-9188-63306e9729fe,1,as they were moved upon by the power of God and the gift of the Holy Ghost,gift and the power of the Holy Ghost; and if,1843-09-10
38857,67476,0.76763,2 Nephi 28:26,Book of Mormon,1277,667.0,127,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/216be185-e7d2-40a5-9188-63306e9729fe,1,as they were moved upon by the power of God and the gift of the Holy Ghost,"of men, and denieth the power of God, and the gift of the Holy Ghost!",1843-09-10
38958,53814,0.81396,Luke 21:24,New Testament,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,Jerusalem should be trodden down of the gentiles until the,"Jerusalem shall be trodden down of the Gentiles, until the times of the Gentiles be fulfilled.",
38974,61771,0.80459,2 Peter 1:21,New Testament,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,of man but Holy men of God spake as they,will of man: but holy men of God spake as they were moved by the Holy Ghost.,
38978,12284,0.75017,Deuteronomy 28:63,Old Testament,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in","And it shall come to pass, that as the Lord",
38978,67289,0.74725,2 Nephi 27:6,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it shall come to pass that the Lord God,
38978,67357,0.71808,2 Nephi 27:24,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And again it shall come to pass that the Lord,
38978,67603,0.74725,2 Nephi 30:8,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it shall come to pass that the Lord God,
38978,68178,0.70135,Jacob 5:14,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
38978,68185,0.70135,Jacob 5:16,Book of Mormon,1281,667.0,131,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/dbc29247-3aeb-43b6-9cb4-74de7f201c6e,1,"of the Lord, that it should come to pass in",And it came to pass that the Lord of the,
