title,price,location,mileage
2005 Honda pilot,"$3,500","Layton, UT",239K miles
2022 Toyota rav4 hybrid,"$42,999","Kaysville, UT",15K miles
2022 Chevrolet trailblazer,"$24,975","Kaysville, UT",13K miles
2004 BMW z4 2.5i Roadster 2D,"$6,000","Farmington, UT",142K miles
2017 Volkswagen golf alltrack se,"$16,990","Layton, UT",33K miles
2011 Toyota venza Wagon 4D,"$8,200","Kaysville, UT",188K miles
2011 Chevrolet impala LT Sedan 4D,"$4,500","Farmington, UT",122K miles
2015 Chevrolet cruze LTZ Sedan 4D,"$10,000","Layton, UT",111K miles
2012 Toyota tundra crewmax Pickup 4D 5 1/2 ft,"$20,000","Kaysville, UT",97K miles
2008 Hyundai veracruz,"$3,645","Syracuse, UT",200K miles
2018 Chevrolet bolt ev,"$17,975","Kaysville, UT",16K miles
2010 Cadillac srx turbo premium collection,"$9,995","Layton, UT",136K miles
2017 Nissan nv3500 hd passenger SV Van 3D,"$55,000","Layton, UT",27K miles
2012 Nissan sentra S Sedan 4D,"$6,850","Clearfield, UT",103K miles
2017 Hyundai Veloster,"$10,000","Hill AFB, UT",110K miles
2016 Kia sorento,"$12,695","Clearfield, UT",94K miles
2008 Buick enclave CX Sport Utility 4D,"$2,399","Layton, UT",220K miles
1988 Chevrolet s-10 Pickup,"$1,000","Layton, UT",104K miles
2017 Chevrolet silverado 1500,"$18,900","Kaysville, UT",100K miles · Dealership
2001 Acura tl 3.2 Sedan 4D,"$2,200","Clearfield, UT",157K miles
2006 Subaru impreza WRX STi Sedan 4D,"$30,000","Layton, UT",150K miles
1981 Chevrolet camaro Coupe 2D,"$7,500","Hill AFB, UT",74K miles
2020 Land Rover range rover P525 SVAutobiography Dynamic Sport Utility 4D,"$119,000","Layton, UT",16K miles
2014 Chrysler,"$6,695","Clearfield, UT",107K miles
2000 Jeep grand cherokee Laredo Sport Utility 4D,"$1,500","Layton, UT",173K miles
1985 Chevrolet camaro Berlinetta,"$5,000","Clearfield, UT",150K miles
2004 Subaru outback Wagon 4D,"$2,400","Layton, UT",176K miles
2009 Subaru tribeca Limited Sport Utility 4D,"$5,058","Clearfield, UT",222K miles
2005 Subaru legacy 2.5 GT Limited Wagon 4D,"$1,500","Clearfield, UT",222K miles
1972 Fiat s85,"$1,500","Layton, UT",138K miles
2021 GMC yukon Denali Sport Utility 4D,"$68,990","Farmington, UT",38K miles
2015 Tesla model s P85D Sedan 4D,"$42,000","Clearfield, UT",125K miles
2002 Chevrolet silverado 2500 Short Bed,"$9,000","Kaysville, UT",247K miles
2019 Chrysler pacifica Touring L Minivan 4D,"$19,950","Layton, UT",61K miles
2014 Mercedes-Benz s-class S 550 Sedan 4D,"$26,000","Layton, UT",80K miles
1952 Porsche speedster replica pre a,"$45,000","Kaysville, UT",500 miles
