title,price,location,mileage
2015 Hyundai sonata Sport 2.0T Sedan 4D,"$7,300","San Jose, CA",98K miles
2014 Toyota prius c Two Hatchback 4D,"$7,786","Fremont, CA",149K miles
2011 Hyundai sonata Hybrid Sedan 4D,"$9,200","Newark, CA",64K miles
2017 Hyundai elantra SE Sedan 4D,"$8,000","Hillsborough, CA",140K miles
2010 Honda accord,"$7,500","Vallejo, CA",160K miles
2004 Audi a4 1.8T Sedan 4D,"$2,000","Richmond, CA",148K miles
2011 Kia optima Hybrid Sedan 4D,"$2,500","San Francisco, CA",197K miles
2007 Toyota prius Touring Hatchback 4D,"$5,900","American Canyon, CA",112K miles
2005 Toyota corolla,"$2,999","Daly City, CA",199K miles
2014 Toyota prius c Three Hatchback 4D,"$11,700","Milpitas, CA",57K miles
2006 Audi a3 2.0T Wagon 4D,$1,"Berkeley, CA",150K miles
2004 Volkswagen new beetle GLS Convertible 2D,"$1,700","Suisun City, CA",160K miles
2005 Honda accord LX Sedan 4D,$500,"Oakland, CA",150K miles
2013 Hyundai sonata GLS Sedan 4D,"$3,000","Antioch, CA",154K miles
2013 Fiat 500 pop,"$6,500","San Francisco, CA",108K miles
2009 Kia rondo LX Wagon 4D,"$4,000","San Francisco, CA",165K miles
2005 BMW x5 3.0i Sport Utility 4D,"$4,900","Livermore, CA",98K miles
2002 BMW 5 series,"$2,900","San Francisco, CA",168K miles
2004 Lincoln town car Signature Sedan 4D,"$3,000","San Francisco, CA",100K miles
2018 Tesla Model 3,"$23,150","San Francisco, CA",38K miles
2012 Nissan maxima S Sedan 4D,"$5,900","Fairfield, CA",65K miles · Dealership
2007 Audi a4 2.0T Quattro Sedan 4D,"$3,000","Richmond, CA",156K miles
2003 Toyota matrix XRS Sport Wagon 4D,"$4,000","Daly City, CA",1.8K miles
1996 Honda civic DX Hatchback 2D,"$3,500","Alameda, CA",296K miles
2020 Ford fusion SE Sedan 4D,"$9,500","Concord, CA",35K miles
2008 Scion xb Hatchback 4D,"$4,600","San Francisco, CA",180K miles
2010 Nissan altima 2.5 Sedan 4D,"$1,100","Oakley, CA",165K miles
1997 Honda cr-v Sport Utility 4D,"$2,800","San Francisco, CA",280K miles
"2009 Toyota rav4 ""Sport"" Sport Utility 4D","$6,900","Oakland, CA",150K miles
2005 BMW z4,"$6,500","San Jose, CA",155K miles
2008 Nissan altima,"$1,500","Santa Rosa, CA",197K miles
2014 Kia soul Wagon 4D,"$5,800","South San Francisco, CA",74K miles
2015 Toyota prius v Five Wagon 4D,"$13,900","Oakland, CA",96K miles
2000 Honda accord EX Sedan 4D,"$1,700","San Francisco, CA",230K miles · Dealership
2012 Nissan leaf SL Hatchback 4D,"$3,500","Sunnyvale, CA",81K miles
2009 Volkswagen jetta S Sedan 4D,"$5,500","San Pablo, CA",129K miles
2006 Ford crown victoria Sedan 4D,"$4,400","Oakland, CA",112K miles
2002 Honda accord,"$1,500","San Jose, CA",190K miles
2008 BMW 7 series Alpina B7 price 100% Firm no off,"$7,500","San Francisco, CA",122K miles
2007 Nissan altima Hybrid Sedan 4D,"$2,500","Union City, CA",129K miles
2012 Honda accord LX-P Sedan 4D,"$8,500","Fremont, CA",153K miles
2014 Toyota avalon Limited Hybrid Sedan 4D,"$13,450","San Francisco, CA",97K miles
2016 Hyundai accent SE Sedan 4D,"$6,200","Oakland, CA",93K miles
2007 Toyota camry Hybrid Sedan 4D,"$5,500","Santa Clara, CA",153K miles
2013 Hyundai accent GS Hatchback 4D,$1,"Berkeley, CA",160K miles
2009 Nissan altima 2.5 Sedan 4D,"$1,900","Pleasanton, CA",118K miles
2004 Toyota prius Sedan 4D,"$3,500","South San Francisco, CA",240K miles
2016 Nissan maxima Platinum Sedan 4D,"$13,700","Richmond, CA",44K miles
2003 Pontiac vibe,$600,"Berkeley, CA",358K miles
2014 Mazda mazda6 i Sport Sedan 4D,"$8,500","San Francisco, CA",98K miles
2010 Ford fusion Hybrid Sedan 4D,"$3,800","Sunnyvale, CA",148K miles
2001 Honda accord LX Sedan 4D,"$3,000","Oakland, CA",178K miles
2014 BMW x1 xdrive28i,"$11,500","Oakland, CA",87K miles
2013 Ford fusion SE Sedan 4D,"$6,500","San Francisco, CA",149K miles
1992 Toyota paseo Coupe 2D,"$1,900","San Rafael, CA",150K miles
2003 Honda civic EX Coupe 2D,"$3,600","Redwood City, CA",151K miles
2018 Nissan altima 2.5 SV Sedan 4D,"$7,000","San Jose, CA",122K miles
2007 Honda accord SE Sedan 4D,"$4,700","South San Francisco, CA",165K miles
2012 Toyota camry SE Sedan 4D,"$5,950","Fremont, CA",226K miles
2021 Honda civic Ex coupe,"$1,100","San Pablo, CA",117K miles
2002 BMW 3 series 325Ci Coupe 2D,"$1,400","Alameda, CA",140K miles
2014 Nissan altima 2.5 S Sedan 4D,"$7,200","San Leandro, CA",85K miles
2001 Toyota camry,"$2,250","Vallejo, CA",140K miles
2008 Nissan altima 2.5 S Coupe 2D,"$2,000","Berkeley, CA",200K miles
1997 Jeep grand cherokee,"$3,200","San Francisco, CA",168K miles
2008 Infiniti g35,"$5,500","San Francisco, CA",169K miles
2012 Honda civic,"$7,700","San Jose, CA",98K miles
2003 Toyota solara SLE Convertible 2D,"$4,600","Antioch, CA",155K miles
2015 Ford fusion SE Sedan 4D,"$7,100","Richmond, CA",88K miles
2017 Honda accord LX Sedan 4D,"$11,500","San Pablo, CA",89K miles
2006 Ford mustang Coupe 2D,"$2,500","Oakland, CA",152K miles
2014 Kia soul + Wagon 4D,"$4,000","Sunnyvale, CA",130K miles
2015 Honda accord Sport Sedan 4D,"$11,450","San Francisco, CA",100K miles
2010 Infiniti g37,"$6,300","San Francisco, CA",154K miles
2007 Toyota solara SLE Convertible 2D,"$3,800","Fairfield, CA",259K miles
2016 Nissan rogue,"$9,600","San Jose, CA",88K miles
2002 BMW 3 series 325Ci Coupe 2D,"$1,300","Oakland, CA",160K miles
2012 Chrysler 200 Touring Convertible 2D,"$6,999","San Rafael, CA",97K miles
2010 Honda accord EX Sedan 4D,"$6,200","Oakland, CA",131K miles
2018 Dodge durango SXT Plus Sport Utility 4D,$22,"San Francisco, CA",60K miles
2009 Nissan altima 2.5 S Sedan 4D,"$4,000","Oakland, CA",158K miles
2005 Cadillac cts Sedan 4D,"$4,500","San Francisco, CA",124K miles
2010 Nissan sentra,"$3,000","San Francisco, CA",185K miles
2003 Buick century Sedan 4D,"$2,000","Oakland, CA",171K miles
2008 Mazda mazda3 s Grand Touring Hatchback 4D,"$4,300","Richmond, CA",147K miles
2012 Ford fusion Sport AWD,"$4,500","Millbrae, CA",140K miles
2006 Audi a3 2.0T Wagon 4D,"$1,800","Oakland, CA",120K miles
2005 Mazda mazda6 s Sport Wagon 4D,"$4,500","San Francisco, CA",160K miles
2015 Toyota camry SE Sedan 4D,"$13,000","Oakland, CA",94K miles
2011 Kia optima EX Sedan 4D,"$7,500","Sausalito, CA",106K miles
